"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "59", "seminar_test/DiningPhilosophers.java:10", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=10"
"main", "60", "seminar_test/DiningPhilosophers.java:10", "New Object", " object=seminar_test.Fork:5"
"main", "61", "seminar_test/DiningPhilosophers.java:10", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Fork:5#Fork:5"
"main", "62", "seminar_test/DiningPhilosophers.java:79", "Method Entered", " "
"main", "63", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "64", "seminar_test/DiningPhilosophers.java:79", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=79"
"main", "65", "seminar_test/DiningPhilosophers.java:79", "Field Write", " context=seminar_test.Fork:5, taken=false"
"main", "66", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "67", "seminar_test/DiningPhilosophers.java:78", "Method Exit", " returner=seminar_test.Fork:5#Fork:5, value=<void>"
"main", "68", "seminar_test/DiningPhilosophers.java:10", "Method Returned", " "
"main", "69", "seminar_test/DiningPhilosophers.java:10", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=10"
"main", "70", "seminar_test/DiningPhilosophers.java:10", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, f5=seminar_test.Fork:5"
"main", "71", "seminar_test/DiningPhilosophers.java:12", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=12"
"main", "72", "SYSTEM", "Type Load", " class=seminar_test.State"
"main", "73", "SYSTEM", "Type Load", " class=seminar_test.Philosopher"
"main", "74", "seminar_test/DiningPhilosophers.java:12", "New Object", " object=seminar_test.Philosopher:1"
"main", "75", "seminar_test/DiningPhilosophers.java:12", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Philosopher:1#seminar_test.Philosopher:1"
"main", "76", "seminar_test/DiningPhilosophers.java:54", "Method Entered", " "
"main", "77", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:1#seminar_test.Philosopher:1, name=""P1"""
"main", "78", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:1#seminar_test.Philosopher:1, right=seminar_test.Fork:2"
"main", "79", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:1#seminar_test.Philosopher:1, left=seminar_test.Fork:1"
"main", "80", "seminar_test/DiningPhilosophers.java:54", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=54"
"main", "81", "seminar_test/DiningPhilosophers.java:54", "Method Call", " caller=seminar_test.Philosopher:1#seminar_test.Philosopher:1, target=seminar_test.State:1#State:1"
"main", "82", "seminar_test/DiningPhilosophers.java:26", "Method Entered", " "
"main", "83", "seminar_test/DiningPhilosophers.java:26", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=26"
"main", "84", "seminar_test/DiningPhilosophers.java:26", "Method Exit", " returner=seminar_test.State:1#State:1, value=<void>"
"main", "85", "seminar_test/DiningPhilosophers.java:54", "Method Returned", " "
"main", "86", "seminar_test/DiningPhilosophers.java:55", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=55"
"main", "87", "seminar_test/DiningPhilosophers.java:55", "Field Write", " context=seminar_test.State:1, name=""P1"""
"main", "88", "seminar_test/DiningPhilosophers.java:56", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=56"
"main", "89", "seminar_test/DiningPhilosophers.java:56", "Field Write", " context=seminar_test.Philosopher:1, left=seminar_test.Fork:1"
"main", "90", "seminar_test/DiningPhilosophers.java:57", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=57"
"main", "91", "seminar_test/DiningPhilosophers.java:57", "Field Write", " context=seminar_test.Philosopher:1, right=seminar_test.Fork:2"
"main", "92", "seminar_test/DiningPhilosophers.java:58", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=58"
"main", "93", "seminar_test/DiningPhilosophers.java:58", "Method Exit", " returner=seminar_test.Philosopher:1#seminar_test.Philosopher:1, value=<void>"
"main", "94", "seminar_test/DiningPhilosophers.java:12", "Method Returned", " "
"main", "95", "seminar_test/DiningPhilosophers.java:12", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=12"
"main", "96", "seminar_test/DiningPhilosophers.java:12", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, p1=seminar_test.Philosopher:1"
"main", "97", "seminar_test/DiningPhilosophers.java:13", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=13"
"main", "98", "seminar_test/DiningPhilosophers.java:13", "New Object", " object=seminar_test.Philosopher:2"
"main", "99", "seminar_test/DiningPhilosophers.java:13", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Philosopher:2#seminar_test.Philosopher:2"
"main", "100", "seminar_test/DiningPhilosophers.java:54", "Method Entered", " "
"main", "101", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:2#seminar_test.Philosopher:2, name=""P2"""
"main", "102", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:2#seminar_test.Philosopher:2, right=seminar_test.Fork:3"
"main", "103", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:2#seminar_test.Philosopher:2, left=seminar_test.Fork:2"
"main", "104", "seminar_test/DiningPhilosophers.java:54", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=54"
"main", "105", "seminar_test/DiningPhilosophers.java:54", "Method Call", " caller=seminar_test.Philosopher:2#seminar_test.Philosopher:2, target=seminar_test.State:2#State:2"
"main", "106", "seminar_test/DiningPhilosophers.java:26", "Method Entered", " "
